what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1449692829540
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1449692829540
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1449692829540
java.specification.name,sysinfo,,,"Java Platform API Specification",1449692829540
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449692829540
java.specification.version,sysinfo,,,"1.6",1449692829540
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1449692829540
java.version,sysinfo,,,"1.6.0_23",1449692829540
java.vm.info,sysinfo,,,"mixed mode",1449692829540
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1449692829540
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1449692829540
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449692829540
java.vm.specification.version,sysinfo,,,"1.0",1449692829540
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1449692829540
java.vm.version,sysinfo,,,"19.0-b09",1449692829540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449692923511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449692990868
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1449692991018
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1449692991088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449692996099
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1449692997289
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1449692997329
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1449692997339
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1449692997339
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1449692997359
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449692997439
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449693000169
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1449693000559
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1449693000559
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1449693000559
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1449693000559
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1449693000569
